x;y;z;radius
-5.70345043608104;0.0;85.0446648555951;2.0
-6.11837372793345;0.0;85.9495104236598;2.0
-6.47619816974303;0.0;86.8865169234119;2.0
-6.7611164346597;0.0;87.8489436769231;2.0
-6.95735942411123;0.0;88.8299379994565;2.0
-7.04941719873762;0.0;89.822516530847;2.0
-7.02234841214382;0.0;90.8195795643307;2.0
-6.86403504396873;0.0;91.806032704617;2.0
-6.57097132025257;0.0;92.7611818598881;2.0
-6.15017289144608;0.0;93.6671648178759;2.0
-5.61745420732001;0.0;94.5115825804489;2.0
-4.99131183972423;0.0;95.291139931106;2.0
-4.29221384394865;0.0;96.0057004402431;2.0
-3.53896605593663;0.0;96.6591843269709;2.0
-2.74326266263096;0.0;97.2609661535653;2.0
-1.91444013851799;0.0;97.8201182375223;2.0
-1.06114002508446;0.0;98.3450037846025;2.0
-0.190643795324813;0.0;98.8414614075706;2.0
0.69095650951222;0.0;99.3141987144552;2.0
1.58083153468162;0.0;99.7718126200822;2.0
2.47370669636205;0.0;100.223892474215;2.0
3.36283887426656;0.0;100.681719311866;2.0
4.24069943061851;0.0;101.158483413934;2.0
5.09897953999227;0.0;101.668919054433;2.0
5.9278580592178;0.0;102.22809118576;2.0
6.71298832555655;0.0;102.847138321383;2.0
7.43999911549775;0.0;103.532280724971;2.0
8.09924358921495;0.0;104.282965886501;2.0
8.69462015783335;0.0;105.085764402402;2.0
9.23936511726221;0.0;105.92466213992;2.0
9.7332279806785;0.0;106.793328492915;2.0
10.174005401198;0.0;107.689693176469;2.0
10.5624793099718;0.0;108.610494623806;2.0
10.9007721024476;0.0;109.551670172845;2.0
11.1917334160401;0.0;110.508979070739;2.0
11.4385586684738;0.0;111.478258986072;2.0
11.6446980822694;0.0;112.456243340013;2.0
11.8136908113852;0.0;113.441233875192;2.0
11.9487305063253;0.0;114.431752453805;2.0
12.05267797515;0.0;115.426401248561;2.0
12.128104425552;0.0;116.423802818067;2.0
12.1773383884461;0.0;117.422579815298;2.0
12.2025159629394;0.0;118.421998461805;2.0
12.2055475890618;0.0;119.421742467657;2.0
12.1881274337508;0.0;120.421436533575;2.0
12.1517718679555;0.0;121.420710616827;2.0
12.0978481657587;0.0;122.419184299647;2.0
