x;y;z;radius
-26.5967776503498;0.0;92.7556858346785;2.0
-27.1914308252866;0.0;93.5591819964659;2.0
-27.7696516928043;0.0;94.3749886502886;2.0
-28.3307848955929;0.0;95.2029318481983;2.0
-28.8741895374963;0.0;96.0428025667128;2.0
-29.3992437734243;0.0;96.8943566927549;2.0
-29.9053496473434;0.0;97.7573158009969;2.0
-30.3919378859386;0.0;98.6313684982903;2.0
-30.858472753828;0.0;99.5161727682367;2.0
-31.3044566293561;0.0;100.411359017183;2.0
-31.7294342232236;0.0;101.316533924384;2.0
-32.1329962916117;0.0;102.231285064874;2.0
-32.5147826547711;0.0;103.155186125873;2.0
-32.8744844272785;0.0;104.087802658078;2.0
-33.2118453471632;0.0;105.028698184846;2.0
-33.5266621360345;0.0;105.977440489662;2.0
-33.8187838626353;0.0;106.933607892385;2.0
-34.0880340141998;0.0;107.896509340094;2.0
-34.3342710411732;0.0;108.865301812779;2.0
-34.557525477665;0.0;109.839549594941;2.0
-34.757863089974;0.0;110.818789757505;2.0
-34.9353862677245;0.0;111.802531780881;2.0
-35.0902361134539;0.0;112.790262583108;2.0
-35.2225936963608;0.0;113.781451527136;2.0
-35.3326805388764;0.0;114.775555566603;2.0
-35.4207583371078;0.0;115.772024182897;2.0
-35.4871279921005;0.0;116.770304019644;2.0
-35.5321280455638;0.0;117.769843229322;2.0
-35.5561326032095;0.0;118.770095279213;2.0
-35.5595488632035;0.0;119.770522324422;2.0
-35.5428143491893;0.0;120.77059800074;2.0
-35.5063939550138;0.0;121.769809683016;2.0
-35.4507768943083;0.0;122.767660237048;2.0
