x;y;z;radius
0.377815544000031;0.0;14.3746139787965;2.0
0.760068973002818;0.0;15.2985762940125;2.0
1.16690491635087;0.0;16.2121539387011;2.0
1.59855533119371;0.0;17.114312889518;2.0
2.05519126575781;0.0;18.0040317695596;2.0
2.5369226298955;0.0;18.8803108863702;2.0
3.04379963007772;0.0;19.7421816918903;2.0
3.57581605843379;0.0;20.5887163695145;2.0
4.13291404731285;0.0;21.4190364588523;2.0
4.71489624569059;0.0;22.2321931365272;2.0
5.32143434714995;0.0;23.0272138733801;2.0
5.95213812580969;0.0;23.8032097579898;2.0
6.60652420052102;0.0;24.5593354038495;2.0
7.28402329451788;0.0;25.2948029330089;2.0
7.98399010334848;0.0;26.0088944901168;2.0
8.70571541760635;0.0;26.7009727592212;2.0
9.44842841063907;0.0;27.3704789178641;2.0
10.21087716637;0.0;28.0165840524147;2.0
10.9921373851184;0.0;28.6389139008708;2.0
11.7915216689709;0.0;29.2373779430535;2.0
12.6082887952185;0.0;29.8119034564281;2.0
13.4416486205542;0.0;30.3624423650772;2.0
14.2907678433153;0.0;30.8889769238383;2.0
15.1547763494734;0.0;31.3915241618981;2.0
16.0327738570133;0.0;31.8701390661221;2.0
16.9238365909298;0.0;32.3249165444427;2.0
17.8270237837934;0.0;32.755992274388;2.0
18.7413837883095;0.0;33.1635425509846;2.0
19.6659597349381;0.0;33.5477833192153;2.0
20.5997945199736;0.0;33.9089684978411;2.0
21.5419352317191;0.0;34.2473878259282;2.0
22.4914368249636;0.0;34.5633643123889;2.0
23.4473728225055;0.0;34.8572537341345;2.0
24.4090709664639;0.0;35.1295041205698;2.0
25.3761271549942;0.0;35.3806282950867;2.0
26.3481515756094;0.0;35.6111174547058;2.0
27.3247564625546;0.0;35.8214398259581;2.0
28.3055536373866;0.0;36.0120424582799;2.0
29.2901524712209;0.0;36.1833531033244;2.0
30.2781581748679;0.0;36.3357821178828;2.0
31.2691704071685;0.0;36.4697243589033;2.0
32.262782202496;0.0;36.5855610451173;2.0
33.2585781517811;0.0;36.6836696271794;2.0
34.2561197710252;0.0;36.7646218488834;2.0
35.2549655924763;0.0;36.8291769925041;2.0
36.2546928058674;0.0;36.8780619536091;2.0
37.2548928222941;0.0;36.9119636068488;2.0
38.2551669586403;0.0;36.9315322561692;2.0
39.2551893138677;0.0;36.9373848879129;2.0
40.255053550804;0.0;36.9300992395124;2.0
41.2547026998378;0.0;36.9102061286048;2.0
42.2540397615159;0.0;36.878199159783;2.0
43.2529735248331;0.0;36.8345383838783;2.0
44.2514161778829;0.0;36.7796531200391;2.0
45.249281464435;0.0;36.713944543389;2.0
46.2464830695482;0.0;36.6377880526615;2.0
47.2429334329971;0.0;36.5515354106207;2.0
48.2385427048682;0.0;36.4555166810156;2.0
49.2332179534924;0.0;36.3500419628705;2.0
50.2268625220055;0.0;36.2354029377072;2.0
51.2193754804558;0.0;36.1118742446926;2.0
52.2106511835976;0.0;35.9797146919561;2.0
53.2005789287244;0.0;35.8391683125918;2.0
54.1890426184512;0.0;35.6904652879226;2.0
