x;y;z
21,2806621345486;0;79,9498097641662
21,9058916527688;7,61065952970123E-18;80,7303076161671
22,5139379700278;3,0539721928963E-17;81,5242629242125
23,1043526608471;6,89121034198196E-17;82,3314090002571
23,6767114284126;1,22823774701931E-16;83,1514435435616
24,2306184010026;1,92340430268951E-16;83,9840308949705
24,765710149006;2,77496607830929E-16;84,8288049619349
25,2816592841772;3,78295297228882E-16;85,6853727338948
25,7781775566051;4,94708066987408E-16;86,5533183480994
26,2550183300867;6,26675710358273E-16;87,4322075643576
26,7119783877462;7,74109401687054E-16;88,3215925693051
27,1488990133143;9,36892330694113E-16;89,2210169706835
27,565645030116;1,11487204868591E-15;90,1299729978494
27,9620828398763;1,30784504669364E-15;91,0478400174946
28,3382026363133;1,51561582156282E-15;91,9741665410148
28,6940294269285;1,73796763772295E-15;92,908495853372
29,0296161895365;1,97465965254666E-15;93,8503511948541
29,3450451345806;2,22542783911914E-15;94,7992393768276
29,6404284107937;2,48998619163808E-15;95,7546543532199
29,9159083251046;2,76802819940877E-15;96,7160808027433
30,1716570733796;3,059228509231E-15;97,6829975373895
30,4078760481987;3,3632447370731E-15;98,6548807301121
30,6247947712502;3,67971937036617E-15;99,6312068879044
30,8226676448218;4,008278398189E-15;100,611445805943
31,0017520166069;4,34848944275442E-15;101,594939659692
31,1623826785893;4,70000705368791E-15;102,581320605609
31,3049182362553;5,06252066610234E-15;103,570328302701
31,4297181575719;5,43571905404543E-15;104,561701976883
31,5371427113521;5,81929040840561E-15;105,555180520867
31,6275528982082;6,21292241457503E-15;106,550502584453
31,701310375945;6,61630232986297E-15;107,547406657472
31,7587773798896;7,02911705330666E-15;108,545631129453
31,800316641642;7,4510531934297E-15;109,544914342752
31,8262913069808;7,88179713119687E-15;110,544994633842
31,8370648542508;8,32103508085755E-15;111,545610370456
31,8330010138343;8,76845314014714E-15;112,546499966119
31,814463690271;9,22373733986127E-15;113,547401896508
31,7818168870276;9,6865736882733E-15;114,548054707455
31,7354246349273;1,01566482064127E-14;115,54819700687
31,6756509236847;1,06336469666172E-14;116,54756746782
31,6028596378414;1,11172561189131E-14;117,545904809609
31,5174144962004;1,1607161918359E-14;118,542947785307
31,4196789953063;1,21030507468679E-14;119,538435161796
31,3100163566091;1,26046091323962E-14;120,532105698399
31,1887894772583;1,31115237650516E-14;121,523698123012
31,0563608843847;1,36234815103471E-14;122,512951106084
